"time (s)","/net0114","VT("/net0115<0:13>")","VT("/dac12_data<11:0>")"
0.00000,"0","xxxx","xxx"
172.0E-9,"0","0000","000"
2.422E-6,"0","0000","f80"
2.985E-6,"1","0000","f80"
3.016E-6,"1","2022","f80"
3.166E-6,"0","2022","f80"
3.479E-6,"1","2022","f80"
3.485E-6,"1","20ff","f80"
3.666E-6,"0","20ff","f80"
3.979E-6,"1","20ff","f80"
4.11E-6,"1","20ff","7a2"
4.166E-6,"0","20ff","7a2"
4.479E-6,"1","20ff","7a2"
4.485E-6,"1","2080","7a2"
4.666E-6,"0","2080","7a2"
4.954E-6,"0","2080","87f"
4.979E-6,"1","2080","87f"
5.166E-6,"0","2080","87f"
5.479E-6,"1","2080","87f"
5.666E-6,"0","2080","87f"
5.797E-6,"0","2080","800"
5.979E-6,"1","2080","800"
6.166E-6,"0","2080","800"
6.479E-6,"1","2080","800"
6.666E-6,"0","2080","800"
6.979E-6,"1","2080","800"
7.166E-6,"0","2080","800"
7.479E-6,"1","2080","800"
7.666E-6,"0","2080","800"
7.979E-6,"1","2080","800"
8.166E-6,"0","2080","800"
8.479E-6,"1","2080","800"
8.666E-6,"0","2080","800"
8.979E-6,"1","2080","800"
9.166E-6,"0","2080","800"
9.479E-6,"1","2080","800"
9.666E-6,"0","2080","800"
9.979E-6,"1","2080","800"
10.17E-6,"0","2080","800"
10.48E-6,"1","2080","800"
10.67E-6,"0","2080","800"
10.98E-6,"1","2080","800"
11.17E-6,"0","2080","800"
11.48E-6,"1","2080","800"
11.67E-6,"0","2080","800"
11.98E-6,"1","2080","800"
12.17E-6,"0","2080","800"
12.48E-6,"1","2080","800"
12.67E-6,"0","2080","800"
12.98E-6,"1","2080","800"
13.17E-6,"0","2080","800"
13.48E-6,"1","2080","800"
13.67E-6,"0","2080","800"
13.98E-6,"1","2080","800"
14.17E-6,"0","2080","800"
14.48E-6,"1","2080","800"
14.67E-6,"0","2080","800"
14.98E-6,"1","2080","800"
15.17E-6,"0","2080","800"
15.48E-6,"1","2080","800"
15.67E-6,"0","2080","800"
15.98E-6,"1","2080","800"
16.17E-6,"0","2080","800"
16.48E-6,"1","2080","800"
16.67E-6,"0","2080","800"
16.98E-6,"1","2080","800"
17.17E-6,"0","2080","800"
17.48E-6,"1","2080","800"
17.67E-6,"0","2080","800"
17.98E-6,"1","2080","800"
18.17E-6,"0","2080","800"
18.48E-6,"1","2080","800"
18.67E-6,"0","2080","800"
18.98E-6,"1","2080","800"
19.17E-6,"0","2080","800"
19.48E-6,"1","2080","800"
19.67E-6,"0","2080","800"
19.98E-6,"1","2080","800"
20.0E-6,"1","2080","800"
20.0E-6,"1",,
